timestamp,gazepoint_x,gazepoint_y,pupil_area_right_sq_mm,pupil_area_left_sq_mm,eye_event
8,0.4841,0.5904,0.43,0.53,NA
8,0.4906,0.5841,0.4,0.54,NA
8,0.4767,0.6915,0.48,0.52,FEx0.486y0.589d0.428
8,0.4824,0.7106,0.48,0.49,S
9,0.4608,0.6673,0.46,0.5,S
9,0.4454,0.6449,0.3,0.5,S
9,0.4507,0.415,0.37,0.47,S
9,0.4307,0.3136,0.35,0.49,S
9,0.4196,0.226,0.52,0.47,S
9,0.5401,0.9985,0.51,0.65,S
1,0.4701,1.0965,0.61,0.7,S
1,0.5556,1.0105,0.61,0.73,FB
1,0.6045,0.9755,0.4,0.56,FEx0.556y1.010d0.087
1,0.5222,0.7303,0.43,0.63,S
1,0.5123,0.5723,0.42,0.6,S
1,0.4564,0.3987,0.36,0.51,S
1,0.4618,0.3911,0.4,0.5,S
1,0.4671,0.4824,0.42,0.53,S
1,0.4844,0.6224,0.46,0.53,S
1,0.493,0.6359,0.45,0.56,S
2,0.4914,0.6337,0.43,0.53,S
2,0.4713,0.719,0.5,0.54,S
2,0.4982,0.7385,0.48,0.5,FB
2,0.4591,0.6895,0.48,0.57,FEx0.498y0.738d0.121
2,0.4346,0.6622,0.36,0.45,S
2,0.3908,0.2843,0.36,0.46,S
2,0.4721,0.2554,0.41,0.45,S
2,0.4938,0.3231,0.38,0.48,S
2,0.5263,0.3625,0.55,0.79,S
3,0.5402,1.0744,0.57,0.71,S
3,0.5775,1.0194,0.59,0.67,S
3,0.5944,1.0341,0.45,0.55,S
3,0.4883,0.6825,0.45,0.54,S
3,0.5178,0.5994,0.4,0.55,S
3,0.491,0.5579,0.44,0.62,S
3,0.4914,0.5455,0.41,0.59,S
3,0.4937,0.5285,0.39,0.55,FB
3,0.5324,0.6368,0.45,0.59,FEx0.494y0.529d0.107
4,0.5435,0.6497,0.45,0.57,FB
4,0.5389,0.6482,0.45,0.57,NA
4,0.5432,0.6822,0.45,0.58,FEx0.541y0.649d0.242
4,0.4693,0.7444,0.51,0.53,S
4,0.4728,0.7545,0.49,0.49,FB
4,0.0,0.0,0.0,0.0,FEx0.473y0.755d0.230
4,0.461,0.776,0.37,0.55,NA
5,0.3984,0.5416,0.38,0.57,S
5,0.44,0.5706,0.41,0.58,S
5,0.5408,0.6711,0.47,0.61,S
5,0.533,0.6499,0.41,0.61,S
5,0.4847,0.6602,0.42,0.54,S
5,0.546,0.7002,0.49,0.61,S
5,0.4894,0.6903,0.45,0.53,S
5,0.4955,0.6833,0.47,0.55,FB
5,0.4872,0.6675,0.49,0.55,FEx0.495y0.683d0.131
6,0.4709,0.6422,0.45,0.59,S
6,0.4758,0.6238,0.47,0.59,S
6,0.4825,0.6016,0.46,0.65,FB
